commit	metric_value	memory_gb	status	description
4d90d39ae62775ebfcc0421294739b58a7098bde	140	N/A	keep	baseline run on fast_subset via scripts/autoresearch_run.py (run_id=20260426T082654Z)
37757787e676a1d5eb3154c250f81ed11bea5839	N/A	N/A	crash	loop run 2026-04-26-loop-0001 attempt 2 timed out after task 3 failed on reportlab Canvas.moveTo (log: 20260426T090423Z)
